Valutazione;;;;;EVALUATOR 1 ;;;;;;;;;;;;EVALUATOR 2 ;;;;;;;;;;;;EVALUATOR 3;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G;#ÁREF!;#ÁREF!;7;#ÁREF!;G;;;;;;;;H6;I6;L6;;G;;;;;;;;H6;I6;L6;;G;;;;;;;;H6;I6;L6
H;#ÁREF!;#ÁREF!;8;#ÁREF!;H;;;;;;;;;H2;H3;;H;;;;;;;;;H4;1;;H;;;;;;;;;H4;1
I;#ÁREF!;#ÁREF!;9;#ÁREF!;I;;;;;;;;;;I2;;I;;;;;;;;;;L3;;I;;;;;;;;;;L4
L;#ÁREF!;#ÁREF!;10;#ÁREF!;L;;;;;;;;;;;;L;;;;;;; ;;;;;L;;;;;;;;;;
Partecipanti;_ Confronto;;;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L
A;#ÁREF!;#ÁREF!;1;#ÁREF!;A;;B2;C2;D2;E2;F2;A2;H3;A3;A3;;A;;1;A2;1;A2;A2;A3;1;A2;A2;;A;;A2;1;D2;1;A2;A4;1;A3;1
B;#ÁREF!;#ÁREF!;2;#ÁREF!;B;;;B2;D2;B2;1;B3;H2;B2;B2;;B;;;B2;D2;B2;B2;B4;H2;B2;B2;;B;;;C2;D3;E2;1;B3;H2;B2;L2
C;#ÁREF!;#ÁREF!;3;#ÁREF!;C;;;;D2;1;F2;C3;H2;C4;C3;;C;;;;1;1;C2;C4;H2;C2;C3;;C;;;;C2;1;C2;C4;1;C3;1
D;#ÁREF!;#ÁREF!;4;#ÁREF!;D;;;;;D2;1;D3;H2;D4;D3;;D;;;;;D2;D2;D5;D2;D2;D2;;D;;;;;D2;D3;D5;D2;D4;D2
E;#ÁREF!;#ÁREF!;5;#ÁREF!;E;;;;;;F2;E3;H2;E3;E3;;E;;;;;;E3;E4;1;E3;E3;;E;;;;;;E2;E4;1;E3;1
F;#ÁREF!;#ÁREF!;6;#ÁREF!;F;;;;;;;F3;H2;F4;F3;;F;;;;;;;F3;H3;F2;F2;;F;;;;;;;F3;H2;F2;L2
G;#ÁREF!;#ÁREF!;7;#ÁREF!;G;;;;;;;;H4;G2;1;;G;;;;;;;;H4;I4;L4;;G;;;;;;;;H4;I2;L4
H;#ÁREF!;#ÁREF!;8;#ÁREF!;H;;;;;;;;;H4;H3;;H;;;;;;;;;H2;H2;;H;;;;;;;;;H3;1
I;#ÁREF!;#ÁREF!;9;#ÁREF!;I;;;;;;;;;;L2;;I;;;;;;;;;;1;;I;;;;;;;;;;L3
L;#ÁREF!;#ÁREF!;10;#ÁREF!;L;;;;;;;;;;;;L;;;;;;;;;;;;L;;;;;;;;;;
Partecipanti;_ Confronto;;;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L
A;#ÁREF!;#ÁREF!;1;#ÁREF!;A;;1;A3;1;1;A2;A3;H2;1;A4;;A;;A2;A2;A2;1;1;A3;1;1;A3;;A;;1;A2;D2;A2;1;1;H2;I2;1
B;#ÁREF!;#ÁREF!;2;#ÁREF!;B;;;B3;1;1;B2;B3;H2;1;B3;;B;;;B2;D2;E2;B2;B4;H2;I2;1;;B;;;B2;D2;B2;1;1;H2;I2;1
C;#ÁREF!;#ÁREF!;3;#ÁREF!;C;;;;D3;E2;F3;G2;H3;I2;C2;;C;;;;1;E2;1;1;H2;I2;L2;;C;;;;D3;1;F2;G2;H3;I3;L2
D;#ÁREF!;#ÁREF!;4;#ÁREF!;D;;;;;1;D2;D2;H2;1;D3;;D;;;;;1;1;D2;H2;I2;1;;D;;;;;D3;D2;D2;1;1;D2
E;#ÁREF!;#ÁREF!;5;#ÁREF!;E;;;;;;E2;E2;H2;1;E3;;E;;;;;;1;1;H2;I2;1;;E;;;;;;F2;G2;H3;I3;L2
F;#ÁREF!;#ÁREF!;6;#ÁREF!;F;;;;;;;F2;H2;I2;F3;;F;;;;;;;F2;H2;I2;1;;F;;;;;;;1;H2;I2;1
G;#ÁREF!;#ÁREF!;7;#ÁREF!;G;;;;;;;;H3;I2;G2;;G;;;;;;;;H3;I3;L2;;G;;;;;;;;H2;I2;1
H;#ÁREF!;#ÁREF!;8;#ÁREF!;H;;;;;;;;;H2;H4;;H;;;;;;;;;1;H2;;H;;;;;;;;;1;H2
I;#ÁREF!;#ÁREF!;9;#ÁREF!;I;;;;;;;;;;I3;;I;;;;;;;;;;I2;;I;;;;;;;;;;I2
L;#ÁREF!;#ÁREF!;10;#ÁREF!;L;;;;;;;;;;;;L;;;;;;;;;;;;L;;;;;;;;;;
Partecipanti;_ Confronto;;;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L
A;#ÁREF!;#ÁREF!;1;#ÁREF!;A;;1;A2;1;E2;F2;A3;A2;A2;A3;;A;;1;A3;1;A2;A2;A2;1;1;A2;;A;;1;A2;1;1;A2;A4;A2;A2;A3
B;#ÁREF!;#ÁREF!;2;#ÁREF!;B;;;B2;B2;1;F2;B3;B2;B2;B3;;B;;;B2;B2;B2;1;B3;1;1;1;;B;;;B2;1;1;B2;B4;B2;B2;B3
C;#ÁREF!;#ÁREF!;3;#ÁREF!;C;;;;D2;E2;F3;C3;1;1;C3;;C;;;;D2;E2;1;C2;H2;I2;1;;C;;;;D2;E2;1;C3;1;1;C2
D;#ÁREF!;#ÁREF!;4;#ÁREF!;D;;;;;E2;F2;D4;D2;D2;D3;;D;;;;;1;1;D2;1;1;1;;D;;;;;1;D2;D4;D2;D2;D3
E;#ÁREF!;#ÁREF!;5;#ÁREF!;E;;;;;;F2;E5;E2;E2;E3;;E;;;;;;1;E2;1;1;E2;;E;;;;;;E2;E4;E2;E2;E3
F;#ÁREF!;#ÁREF!;6;#ÁREF!;F;;;;;;;F5;F3;F3;F5;;F;;;;;;;F2;1;1;1;;F;;;;;;;F3;1;1;F2
G;#ÁREF!;#ÁREF!;7;#ÁREF!;G;;;;;;;;H3;I3;L2;;G;;;;;;;;H2;I2;L2;;G;;;;;;;;H3;I3;L2
H;#ÁREF!;#ÁREF!;8;#ÁREF!;H;;;;;;;;;1;H3;;H;;;;;;;;;1;H2;;H;;;;;;;;;1;H2
I;#ÁREF!;#ÁREF!;9;#ÁREF!;I;;;;;;;;;;I3;;I;;;;;;;;;;1;;I;;;;;;;;;;I2
L;#ÁREF!;#ÁREF!;10;#ÁREF!;L;;;;;;;;;;;;L;;;;;;;;;;;;L;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;B2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;A3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;D2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;A3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;A2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;A3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;H2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
